phase,csv_file,source_table_type,source_column_order,source_column,target_entity,target_field,import_treatment,notes
phase_1,Bloom_Boys_SK_K12_Research_Phase_1_SCHOOL_DIVISIONS.csv,school_divisions,1,Division ID,import_source_rows,original_record_id,preserve_and_index,Use with phase/file/row for idempotent re-imports.
phase_1,Bloom_Boys_SK_K12_Research_Phase_1_SCHOOL_DIVISIONS.csv,school_divisions,2,Division name,organizations/relationship_staging,division_name,resolve_or_stage,Resolve by canonical name/alias; unresolved values enter review.
phase_1,Bloom_Boys_SK_K12_Research_Phase_1_SCHOOL_DIVISIONS.csv,school_divisions,3,Division type,organizations,division_type,map,Normalize into the target field while preserving the original value in import_source_rows.
phase_1,Bloom_Boys_SK_K12_Research_Phase_1_SCHOOL_DIVISIONS.csv,school_divisions,4,Headquarters city,organizations,headquarters_city,map,Normalize into the target field while preserving the original value in import_source_rows.
phase_1,Bloom_Boys_SK_K12_Research_Phase_1_SCHOOL_DIVISIONS.csv,school_divisions,5,Region served,organizations,region_served,map,Normalize into the target field while preserving the original value in import_source_rows.
phase_1,Bloom_Boys_SK_K12_Research_Phase_1_SCHOOL_DIVISIONS.csv,school_divisions,6,Number of schools,organizations,of_schools,map,Normalize into the target field while preserving the original value in import_source_rows.
phase_1,Bloom_Boys_SK_K12_Research_Phase_1_SCHOOL_DIVISIONS.csv,school_divisions,7,Number of secondary schools,organizations,of_secondary_schools,map,Normalize into the target field while preserving the original value in import_source_rows.
phase_1,Bloom_Boys_SK_K12_Research_Phase_1_SCHOOL_DIVISIONS.csv,school_divisions,8,Approximate student population,organizations,approximate_student_population,map,Normalize into the target field while preserving the original value in import_source_rows.
phase_1,Bloom_Boys_SK_K12_Research_Phase_1_SCHOOL_DIVISIONS.csv,school_divisions,9,Official website,organizations,official_website,map,Normalize into the target field while preserving the original value in import_source_rows.
phase_1,Bloom_Boys_SK_K12_Research_Phase_1_SCHOOL_DIVISIONS.csv,school_divisions,10,Staff directory,people/contact_roles,staff_directory,resolve_or_stage,Create or link contact roles; departmental contacts remain separate from named people.
phase_1,Bloom_Boys_SK_K12_Research_Phase_1_SCHOOL_DIVISIONS.csv,school_divisions,11,Trustee directory,people/contact_roles,trustee_directory,resolve_or_stage,Create or link contact roles; departmental contacts remain separate from named people.
phase_1,Bloom_Boys_SK_K12_Research_Phase_1_SCHOOL_DIVISIONS.csv,school_divisions,12,Procurement page,approvals/policies,procurement_page,map_with_review,Preserve as approval/policy evidence; do not treat inferred approval as confirmed.
phase_1,Bloom_Boys_SK_K12_Research_Phase_1_SCHOOL_DIVISIONS.csv,school_divisions,13,Vendor registration page,approvals/policies,vendor_registration_page,map_with_review,Preserve as approval/policy evidence; do not treat inferred approval as confirmed.
phase_1,Bloom_Boys_SK_K12_Research_Phase_1_SCHOOL_DIVISIONS.csv,school_divisions,14,Relevant policies,organizations,relevant_policies,map,Normalize into the target field while preserving the original value in import_source_rows.
