Rank,Organization,School,Contact,Title,Contact category,Expected usefulness,Opportunity tier,Opportunity score,Best outreach channel,Email,Phone,Reason to contact,Suggested opening angle,Desired outcome,Backup contact,Source,Date verified
1,TCU Place,Not applicable to this record.,TCU Place Event Sales,Venue Sales and Event Planning,Facilities or venue contact,VERY STRONG,Tier 1,96,Email,inquiries@tcuplace.com,306-975-7777,An outside venue may control commercial placement even when a school supports the idea.,State that school approval will be obtained separately.,"Confirm written vendor, insurance, loading, concession and commission terms.",The school’s graduation organizer,https://tcuplace.com/planners/,2026-06-26
2,TCU Place,Not applicable to this record.,TCU Place Client Services,Client Services,Facilities or venue contact,VERY STRONG,Tier 1,96,Email,clientservices@tcuplace.com,306-975-7799,An outside venue may control commercial placement even when a school supports the idea.,State that school approval will be obtained separately.,"Confirm written vendor, insurance, loading, concession and commission terms.",The school’s graduation organizer,https://tcuplace.com/,2026-06-26
3,Merlis Belsher Place,Not applicable to this record.,Merlis Belsher Place Event Booking,Venue Booking,Facilities or venue contact,VERY STRONG,Tier 1,96,Email,tyano@merlisbelsherplace.ca,306-385-3200,An outside venue may control commercial placement even when a school supports the idea.,State that school approval will be obtained separately.,"Confirm written vendor, insurance, loading, concession and commission terms.",The school’s graduation organizer,https://merlisbelsherplace.ca/bookings-and-rates-at-merlis-belcher-place/,2026-06-26
4,Prairieland Park,Not applicable to this record.,Prairieland Park Event Booking,Events and Sales,Facilities or venue contact,VERY STRONG,Tier 1,96,Email,contactus@prairielandpark.com,306-931-7149,An outside venue may control commercial placement even when a school supports the idea.,State that school approval will be obtained separately.,"Confirm written vendor, insurance, loading, concession and commission terms.",The school’s graduation organizer,https://prairielandpark.com/contact/,2026-06-26
5,Conexus Arts Centre,Not applicable to this record.,Conexus Arts Centre Event Spaces,Venue Sales / Events,Facilities or venue contact,VERY STRONG,Tier 1,96,Email,reception@conexusartscentre.ca,306-565-4500,An outside venue may control commercial placement even when a school supports the idea.,State that school approval will be obtained separately.,"Confirm written vendor, insurance, loading, concession and commission terms.",The school’s graduation organizer,https://conexusartscentre.ca/event-spaces/,2026-06-26
6,Art Hauser Centre,Not applicable to this record.,Art Hauser Centre Facility Booking,Municipal Facility Booking,Facilities or venue contact,VERY STRONG,Tier 1,96,Email,"Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.",306-953-4848,An outside venue may control commercial placement even when a school supports the idea.,State that school approval will be obtained separately.,"Confirm written vendor, insurance, loading, concession and commission terms.",The school’s graduation organizer,https://www.citypa.ca/en/parks-recreation-and-culture/art-hauser-centre.aspx,2026-06-26
7,EA Rawlinson Centre,Not applicable to this record.,EA Rawlinson Centre Event Booking,Venue Booking,Facilities or venue contact,VERY STRONG,Tier 1,96,Email,"Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.","Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.",An outside venue may control commercial placement even when a school supports the idea.,State that school approval will be obtained separately.,"Confirm written vendor, insurance, loading, concession and commission terms.",The school’s graduation organizer,https://www.earc.ca/,2026-06-26
8,Dekker Centre,Not applicable to this record.,Dekker Centre Event Sales,Venue Booking,Facilities or venue contact,VERY STRONG,Tier 1,96,Email,"Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.","Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.",An outside venue may control commercial placement even when a school supports the idea.,State that school approval will be obtained separately.,"Confirm written vendor, insurance, loading, concession and commission terms.",The school’s graduation organizer,https://dekkercentre.com/,2026-06-26
9,Gallagher Centre,Not applicable to this record.,Gallagher Centre Facility Booking,Municipal Facility Booking,Facilities or venue contact,VERY STRONG,Tier 1,96,Email,"Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.","Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.",An outside venue may control commercial placement even when a school supports the idea.,State that school approval will be obtained separately.,"Confirm written vendor, insurance, loading, concession and commission terms.",The school’s graduation organizer,https://www.yorkton.ca/en/parks-recreation-and-culture/gallagher-centre.aspx,2026-06-26
10,InnovationPlex,Not applicable to this record.,InnovationPlex Facility Booking,Municipal Facility Booking,Facilities or venue contact,VERY STRONG,Tier 1,96,Email,"Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.","Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.",An outside venue may control commercial placement even when a school supports the idea.,State that school approval will be obtained separately.,"Confirm written vendor, insurance, loading, concession and commission terms.",The school’s graduation organizer,https://www.swiftcurrent.ca/divisions/community-services/recreation-parks-and-culture/facilities/innovationplex,2026-06-26
11,Kerry Vickar Centre,Not applicable to this record.,Kerry Vickar Centre Facility Booking,Municipal Facility Booking,Facilities or venue contact,VERY STRONG,Tier 1,96,Email,"Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.","Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.",An outside venue may control commercial placement even when a school supports the idea.,State that school approval will be obtained separately.,"Confirm written vendor, insurance, loading, concession and commission terms.",The school’s graduation organizer,https://www.melfort.ca/p/kerry-vickar-centre,2026-06-26
