unresolved_id,severity,phase,csv_file,source_row_number,source_record_id,relationship_field,raw_value,expected_target_entity,reason_unresolved,suggested_canonical_or_alias,suggested_resolution
REL-0001,medium,phase_1,Bloom_Boys_SK_K12_Research_Phase_1_HIGH_SCHOOLS.csv,119,SCH-118,School division,Independent school / no provincial division row,organization,"No exact canonical organization/venue match after normalization, or value is provisional/generic.",,Split into multiple relationships when the value names more than one organization.
REL-0002,medium,phase_1,Bloom_Boys_SK_K12_Research_Phase_1_HIGH_SCHOOLS.csv,120,SCH-119,School division,Independent school / no provincial division row,organization,"No exact canonical organization/venue match after normalization, or value is provisional/generic.",,Split into multiple relationships when the value names more than one organization.
REL-0003,medium,phase_1,Bloom_Boys_SK_K12_Research_Phase_1_HIGH_SCHOOLS.csv,121,SCH-120,School division,Independent school / no provincial division row,organization,"No exact canonical organization/venue match after normalization, or value is provisional/generic.",,Split into multiple relationships when the value names more than one organization.
REL-0004,medium,phase_1,Bloom_Boys_SK_K12_Research_Phase_1_HIGH_SCHOOLS.csv,122,SCH-121,School division,Independent school / no provincial division row,organization,"No exact canonical organization/venue match after normalization, or value is provisional/generic.",,Split into multiple relationships when the value names more than one organization.
REL-0005,medium,phase_1,Bloom_Boys_SK_K12_Research_Phase_1_HIGH_SCHOOLS.csv,123,SCH-122,School division,Independent school / no provincial division row,organization,"No exact canonical organization/venue match after normalization, or value is provisional/generic.",,Split into multiple relationships when the value names more than one organization.
REL-0006,medium,phase_1,Bloom_Boys_SK_K12_Research_Phase_1_HIGH_SCHOOLS.csv,124,SCH-123,School division,Independent school / no provincial division row,organization,"No exact canonical organization/venue match after normalization, or value is provisional/generic.",,Split into multiple relationships when the value names more than one organization.
REL-0007,medium,phase_1,Bloom_Boys_SK_K12_Research_Phase_1_CONTACTS.csv,338,CON-337,School division,Independent school / no provincial division row,organization,"No exact canonical organization/venue match after normalization, or value is provisional/generic.",,Split into multiple relationships when the value names more than one organization.
REL-0008,medium,phase_1,Bloom_Boys_SK_K12_Research_Phase_1_CONTACTS.csv,339,CON-338,School division,Independent school / no provincial division row,organization,"No exact canonical organization/venue match after normalization, or value is provisional/generic.",,Split into multiple relationships when the value names more than one organization.
REL-0009,medium,phase_1,Bloom_Boys_SK_K12_Research_Phase_1_CONTACTS.csv,340,CON-339,School division,Independent school / no provincial division row,organization,"No exact canonical organization/venue match after normalization, or value is provisional/generic.",,Split into multiple relationships when the value names more than one organization.
REL-0010,medium,phase_1,Bloom_Boys_SK_K12_Research_Phase_1_CONTACTS.csv,341,CON-340,School division,Independent school / no provincial division row,organization,"No exact canonical organization/venue match after normalization, or value is provisional/generic.",,Split into multiple relationships when the value names more than one organization.
REL-0011,medium,phase_1,Bloom_Boys_SK_K12_Research_Phase_1_CONTACTS.csv,342,CON-341,School division,Independent school / no provincial division row,organization,"No exact canonical organization/venue match after normalization, or value is provisional/generic.",,Split into multiple relationships when the value names more than one organization.
REL-0012,medium,phase_1,Bloom_Boys_SK_K12_Research_Phase_1_CONTACTS.csv,343,CON-342,School division,Independent school / no provincial division row,organization,"No exact canonical organization/venue match after normalization, or value is provisional/generic.",,Split into multiple relationships when the value names more than one organization.
REL-0013,medium,phase_1,Bloom_Boys_SK_K12_Research_Phase_1_CONTACTS.csv,347,CON-346,Organization,Prairieland Park,organization,"No exact canonical organization/venue match after normalization, or value is provisional/generic.",,"Create canonical organization/venue if legitimate, or map to alias/status value after review."
REL-0014,medium,phase_1,Bloom_Boys_SK_K12_Research_Phase_1_GRADUATIONS_AND_VENUES.csv,17,EVT-016,Venue,"TCU Place, Sid Buckwold Theatre",venue,"No exact canonical organization/venue match after normalization, or value is provisional/generic.",,"Create canonical organization/venue if legitimate, or map to alias/status value after review."
REL-0015,medium,phase_1,Bloom_Boys_SK_K12_Research_Phase_1_GRADUATIONS_AND_VENUES.csv,17,EVT-016,Venue operator,TCU Place / City of Saskatoon,organization,"No exact canonical organization/venue match after normalization, or value is provisional/generic.",,Split into multiple relationships when the value names more than one organization.
