Venue ID,Venue name,City,Venue operator,Website,Events held,Event booking contact,Operations contact,Vendor contact,Concessions contact,Email,Phone,Outside-vendor rules,Exclusive agreements,Insurance requirements,Vendor fees,Loading information,Institution approval also required,Opportunity notes,Source URLs,Date verified
VEN-001,Merlis Belsher Place,Saskatoon,University of Saskatchewan,https://merlisbelsherplace.ca/bookings-and-rates-at-merlis-belcher-place/,USask and high-school graduations,Event Booking — tyano@merlisbelsherplace.ca,Facility Operations,Assigned event manager,Concessions operator requires confirmation,tyano@merlisbelsherplace.ca,306-385-3200,No complete public outside-retail policy found; written venue and event-organizer approval is required.,USask’s current flower/frame arrangements may create event-specific exclusivity,Certificate-of-insurance limits were not public; request event-specific requirements.,"Not publicly available after checks of the official website, staff directory, contact page, relevant event or procurement page, and targeted role search; phone or contact-form routing required.",Loading route and setup window require assigned-manager confirmation,Yes — USask or each school organizer,"Highest Saskatoon one-to-many opportunity, but USask has an incumbent",https://merlisbelsherplace.ca/bookings-and-rates-at-merlis-belcher-place/,2026-06-26
VEN-002,TCU Place,Saskatoon,TCU Place / City of Saskatoon,https://tcuplace.com/planners/,"Sask Poly and school graduations, awards and conferences",Event Sales — inquiries@tcuplace.com,Client Services — clientservices@tcuplace.com,Assigned event manager,Concessions terms require confirmation,inquiries@tcuplace.com,306-975-7777,No complete public outside-retail policy found; written venue and event-organizer approval is required.,Retail/concession exclusivity not publicly stated,Certificate-of-insurance limits were not public; request event-specific requirements.,"Not publicly available after checks of the official website, staff directory, contact page, relevant event or procurement page, and targeted role search; phone or contact-form routing required.",Planner/event manager assigns load-in,Yes — each institution/school client,Very strong shared-venue relationship,https://tcuplace.com/planners/,2026-06-26
VEN-003,Prairieland Park Hall D,Saskatoon,Prairieland Park,https://prairielandpark.com/contact/,SIIT graduation and major ceremonies,Events/Booking,Prairieland operations,Assigned event manager,Concessions routed through event office,contactus@prairielandpark.com,306-931-7149,No complete public outside-retail policy found; written venue and event-organizer approval is required.,No public exclusive retail agreement found,Certificate-of-insurance limits were not public; request event-specific requirements.,"Not publicly available after checks of the official website, staff directory, contact page, relevant event or procurement page, and targeted role search; phone or contact-form routing required.",Hall-specific loading details require event manager,Yes — SIIT or event client,Strong Saskatoon target with potentially lower incumbent risk,https://prairielandpark.com/contact/,2026-06-26
VEN-004,Conexus Arts Centre,Regina,Conexus Arts Centre,https://conexusartscentre.ca/event-spaces/,"Sask Poly convocation, SATCC dinners and awards",Event Spaces / Reception,Administrative operations,Assigned event manager,In-house food and beverage,reception@conexusartscentre.ca,306-565-4500,Outside non-food retail requires approval; outside food/beverage is prohibited,Food/beverage exclusivity confirmed; merchandise exclusivity not public,Certificate-of-insurance limits were not public; request event-specific requirements.,"Not publicly available after checks of the official website, staff directory, contact page, relevant event or procurement page, and targeted role search; phone or contact-form routing required.",Setup details assigned by event staff,"Yes — Sask Poly, SATCC or client",Excellent Regina ceremony hub,https://conexusartscentre.ca/event-spaces/; https://conexusartscentre.ca/faqs/,2026-06-26
VEN-005,Temple Gardens Centre,Moose Jaw,Temple Gardens Centre,https://www.templegardenscentre.ca/,Sask Poly Moose Jaw convocation,Official event booking route,Facility operations,Vendor contact not public,Concessions contact not public,"Not publicly available after checks of the official website, staff directory, contact page, relevant event or procurement page, and targeted role search; phone or contact-form routing required.","Not publicly available after checks of the official website, staff directory, contact page, relevant event or procurement page, and targeted role search; phone or contact-form routing required.",No complete public outside-retail policy found; written venue and event-organizer approval is required.,No public exclusive agreement found,Certificate-of-insurance limits were not public; request event-specific requirements.,"Not publicly available after checks of the official website, staff directory, contact page, relevant event or procurement page, and targeted role search; phone or contact-form routing required.","Not publicly available after checks of the official website, staff directory, contact page, relevant event or procurement page, and targeted role search; phone or contact-form routing required.",Yes — Saskatchewan Polytechnic,Useful within a Sask Poly multi-city partnership,https://www.templegardenscentre.ca/,2026-06-26
VEN-006,Art Hauser Centre,Prince Albert,City of Prince Albert,https://www.citypa.ca/en/parks-recreation-and-culture/art-hauser-centre.aspx,Sask Poly Prince Albert convocation and community events,City facility booking,Arena operations,Facility/event manager,Arena concessions contact requires confirmation,"Not publicly available after checks of the official website, staff directory, contact page, relevant event or procurement page, and targeted role search; phone or contact-form routing required.",306-953-4848,No complete public outside-retail policy found; written venue and event-organizer approval is required.,Concession/sponsorship exclusivity not public,Certificate-of-insurance limits were not public; request event-specific requirements.,"Not publicly available after checks of the official website, staff directory, contact page, relevant event or procurement page, and targeted role search; phone or contact-form routing required.",Arena loading details require facility confirmation,Yes — Saskatchewan Polytechnic,Strong Prince Albert venue in a multi-campus deal,https://www.citypa.ca/en/parks-recreation-and-culture/art-hauser-centre.aspx,2026-06-26
VEN-007,U of R CKHS Main Gym,Regina,University of Regina,https://www.uregina.ca/kinesiology-health-studies/facilities/facility-rentals.html,U of R Spring and Fall convocation,CKHS Facility Rentals / Convocation,CKHS operations,Authority boundary requires confirmation,Campus retail stakeholder may have rights,"Not publicly available after checks of the official website, staff directory, contact page, relevant event or procurement page, and targeted role search; phone or contact-form routing required.",306-585-4111,No complete public outside-retail policy found; written venue and event-organizer approval is required.,Follett/other campus contracts may affect merchandise; no flower exclusivity found,Certificate-of-insurance limits were not public; request event-specific requirements.,"Not publicly available after checks of the official website, staff directory, contact page, relevant event or procurement page, and targeted role search; phone or contact-form routing required.",Campus loading details are event-controlled,Yes — U of R Convocation,Highest Regina direct-pilot venue,https://www.uregina.ca/convocation/; https://www.uregina.ca/kinesiology-health-studies/facilities/facility-rentals.html,2026-06-26
VEN-008,Queensbury Convention Centre,Regina,REAL District,https://realdistrict.ca/venues/queensbury-convention-centre/,"Conferences, banquets and ceremonies",Official event-sales/booking route,Facility operations,Vendor contact not publicly identified,Concessions contact not publicly identified,"Not publicly available after checks of the official website, staff directory, contact page, relevant event or procurement page, and targeted role search; phone or contact-form routing required.","Not publicly available after checks of the official website, staff directory, contact page, relevant event or procurement page, and targeted role search; phone or contact-form routing required.",No complete public outside-retail policy found; written venue and event-organizer approval is required.,Exclusive concessions/retail terms not public,Certificate-of-insurance limits were not public; request event-specific requirements.,"Not publicly available after checks of the official website, staff directory, contact page, relevant event or procurement page, and targeted role search; phone or contact-form routing required.",Loading/setup details require assigned event manager,Yes — event organizer also approves,Potential shared venue; confirm actual ceremony clients and terms,https://realdistrict.ca/venues/queensbury-convention-centre/,2026-06-26
VEN-009,Mosaic Stadium,Regina,REAL District,https://realdistrict.ca/venues/mosaic-stadium/,Large events and premium spaces,Official event-sales/booking route,Facility operations,Vendor contact not publicly identified,Concessions contact not publicly identified,"Not publicly available after checks of the official website, staff directory, contact page, relevant event or procurement page, and targeted role search; phone or contact-form routing required.","Not publicly available after checks of the official website, staff directory, contact page, relevant event or procurement page, and targeted role search; phone or contact-form routing required.",No complete public outside-retail policy found; written venue and event-organizer approval is required.,Exclusive concessions/retail terms not public,Certificate-of-insurance limits were not public; request event-specific requirements.,"Not publicly available after checks of the official website, staff directory, contact page, relevant event or procurement page, and targeted role search; phone or contact-form routing required.",Loading/setup details require assigned event manager,Yes — event organizer also approves,Potential shared venue; confirm actual ceremony clients and terms,https://realdistrict.ca/venues/mosaic-stadium/,2026-06-26
VEN-010,SaskTel Centre,Saskatoon,SaskTel Centre operator,https://www.sasktelcentre.com/,"Large ceremonies, concerts and sports",Official event-sales/booking route,Facility operations,Vendor contact not publicly identified,Concessions contact not publicly identified,"Not publicly available after checks of the official website, staff directory, contact page, relevant event or procurement page, and targeted role search; phone or contact-form routing required.","Not publicly available after checks of the official website, staff directory, contact page, relevant event or procurement page, and targeted role search; phone or contact-form routing required.",No complete public outside-retail policy found; written venue and event-organizer approval is required.,Exclusive concessions/retail terms not public,Certificate-of-insurance limits were not public; request event-specific requirements.,"Not publicly available after checks of the official website, staff directory, contact page, relevant event or procurement page, and targeted role search; phone or contact-form routing required.",Loading/setup details require assigned event manager,Yes — event organizer also approves,Potential shared venue; confirm actual ceremony clients and terms,https://www.sasktelcentre.com/,2026-06-26
