Organization,Policy type,Policy name,Policy URL,Relevant summary,Likely impact on Bloom Boys,Approval likely required from,Insurance requirement,Branding restriction,Fundraising restriction,Procurement requirement,Venue requirement,Confidence level,Date verified
Chinook School Division No. 211,Procurement / outside vendor,Division policy manual and Saskatchewan public tender route,"https://www.chinooksd.ca/ — policy/manual search required for fundraising, sponsorship, facility use and logo permission.; https://sasktenders.ca/","Public school divisions govern contracts, school-generated funds, facilities, branding and purchasing through division policies and delegated administrative procedures.","A small school-level pilot may begin informally with the principal, but contracts, division-wide arrangements, logo use, insurance or revenue sharing may trigger division review.",Principal/graduation organizer first; finance/operations or procurement for formal terms; director only for strategic escalation.,Exact commercial general-liability limits were not publicly standardized across divisions; written confirmation is required.,"School/division names, logos and apparel designs require written permission.",Fundraising or revenue-sharing may need school-community-council and division financial approval.,SaskTenders or vendor setup may apply depending on value and structure; do not assume a small event licence requires a tender.,"If the ceremony is off-site, the venue’s written vendor and loading rules also apply.",Medium,2026-06-26
Christ the Teacher Roman Catholic Separate School Division No. 212,Procurement / outside vendor,Division policy manual and Saskatchewan public tender route,"https://www.christtheteacher.ca/ — policy/manual search required for fundraising, sponsorship, facility use and logo permission.; https://sasktenders.ca/","Public school divisions govern contracts, school-generated funds, facilities, branding and purchasing through division policies and delegated administrative procedures.","A small school-level pilot may begin informally with the principal, but contracts, division-wide arrangements, logo use, insurance or revenue sharing may trigger division review.",Principal/graduation organizer first; finance/operations or procurement for formal terms; director only for strategic escalation.,Exact commercial general-liability limits were not publicly standardized across divisions; written confirmation is required.,"School/division names, logos and apparel designs require written permission.",Fundraising or revenue-sharing may need school-community-council and division financial approval.,SaskTenders or vendor setup may apply depending on value and structure; do not assume a small event licence requires a tender.,"If the ceremony is off-site, the venue’s written vendor and loading rules also apply.",Medium,2026-06-26
Conseil des écoles fransaskoises No. 310,Procurement / outside vendor,Division policy manual and Saskatchewan public tender route,"https://ecolefrancophone.com/ — policy/manual search required for fundraising, sponsorship, facility use and logo permission.; https://sasktenders.ca/","Public school divisions govern contracts, school-generated funds, facilities, branding and purchasing through division policies and delegated administrative procedures.","A small school-level pilot may begin informally with the principal, but contracts, division-wide arrangements, logo use, insurance or revenue sharing may trigger division review.",Principal/graduation organizer first; finance/operations or procurement for formal terms; director only for strategic escalation.,Exact commercial general-liability limits were not publicly standardized across divisions; written confirmation is required.,"School/division names, logos and apparel designs require written permission.",Fundraising or revenue-sharing may need school-community-council and division financial approval.,SaskTenders or vendor setup may apply depending on value and structure; do not assume a small event licence requires a tender.,"If the ceremony is off-site, the venue’s written vendor and loading rules also apply.",Medium,2026-06-26
Creighton School Division No. 111,Procurement / outside vendor,Division policy manual and Saskatchewan public tender route,"https://www.creightonschool.com/ — policy/manual search required for fundraising, sponsorship, facility use and logo permission.; https://sasktenders.ca/","Public school divisions govern contracts, school-generated funds, facilities, branding and purchasing through division policies and delegated administrative procedures.","A small school-level pilot may begin informally with the principal, but contracts, division-wide arrangements, logo use, insurance or revenue sharing may trigger division review.",Principal/graduation organizer first; finance/operations or procurement for formal terms; director only for strategic escalation.,Exact commercial general-liability limits were not publicly standardized across divisions; written confirmation is required.,"School/division names, logos and apparel designs require written permission.",Fundraising or revenue-sharing may need school-community-council and division financial approval.,SaskTenders or vendor setup may apply depending on value and structure; do not assume a small event licence requires a tender.,"If the ceremony is off-site, the venue’s written vendor and loading rules also apply.",Medium,2026-06-26
Good Spirit School Division No. 204,Procurement / outside vendor,Division policy manual and Saskatchewan public tender route,"https://www.gssd.ca/ — policy/manual search required for fundraising, sponsorship, facility use and logo permission.; https://sasktenders.ca/","Public school divisions govern contracts, school-generated funds, facilities, branding and purchasing through division policies and delegated administrative procedures.","A small school-level pilot may begin informally with the principal, but contracts, division-wide arrangements, logo use, insurance or revenue sharing may trigger division review.",Principal/graduation organizer first; finance/operations or procurement for formal terms; director only for strategic escalation.,Exact commercial general-liability limits were not publicly standardized across divisions; written confirmation is required.,"School/division names, logos and apparel designs require written permission.",Fundraising or revenue-sharing may need school-community-council and division financial approval.,SaskTenders or vendor setup may apply depending on value and structure; do not assume a small event licence requires a tender.,"If the ceremony is off-site, the venue’s written vendor and loading rules also apply.",Medium,2026-06-26
Holy Family Roman Catholic Separate School Division No. 140,Procurement / outside vendor,Division policy manual and Saskatchewan public tender route,https://holyfamilyrcssd.ca/index.php/governance/administration/school-divsion-procedures; https://sasktenders.ca/,"Public school divisions govern contracts, school-generated funds, facilities, branding and purchasing through division policies and delegated administrative procedures.","A small school-level pilot may begin informally with the principal, but contracts, division-wide arrangements, logo use, insurance or revenue sharing may trigger division review.",Principal/graduation organizer first; finance/operations or procurement for formal terms; director only for strategic escalation.,Exact commercial general-liability limits were not publicly standardized across divisions; written confirmation is required.,"School/division names, logos and apparel designs require written permission.",Fundraising or revenue-sharing may need school-community-council and division financial approval.,SaskTenders or vendor setup may apply depending on value and structure; do not assume a small event licence requires a tender.,"If the ceremony is off-site, the venue’s written vendor and loading rules also apply.",Medium,2026-06-26
Holy Trinity Roman Catholic Separate School Division No. 22,Procurement / outside vendor,Division policy manual and Saskatchewan public tender route,"https://www.htcsd.ca/ — policy/manual search required for fundraising, sponsorship, facility use and logo permission.; https://sasktenders.ca/","Public school divisions govern contracts, school-generated funds, facilities, branding and purchasing through division policies and delegated administrative procedures.","A small school-level pilot may begin informally with the principal, but contracts, division-wide arrangements, logo use, insurance or revenue sharing may trigger division review.",Principal/graduation organizer first; finance/operations or procurement for formal terms; director only for strategic escalation.,Exact commercial general-liability limits were not publicly standardized across divisions; written confirmation is required.,"School/division names, logos and apparel designs require written permission.",Fundraising or revenue-sharing may need school-community-council and division financial approval.,SaskTenders or vendor setup may apply depending on value and structure; do not assume a small event licence requires a tender.,"If the ceremony is off-site, the venue’s written vendor and loading rules also apply.",Medium,2026-06-26
Horizon School Division No. 205,Procurement / outside vendor,Division policy manual and Saskatchewan public tender route,"https://www.horizonsd.ca/ — policy/manual search required for fundraising, sponsorship, facility use and logo permission.; https://sasktenders.ca/","Public school divisions govern contracts, school-generated funds, facilities, branding and purchasing through division policies and delegated administrative procedures.","A small school-level pilot may begin informally with the principal, but contracts, division-wide arrangements, logo use, insurance or revenue sharing may trigger division review.",Principal/graduation organizer first; finance/operations or procurement for formal terms; director only for strategic escalation.,Exact commercial general-liability limits were not publicly standardized across divisions; written confirmation is required.,"School/division names, logos and apparel designs require written permission.",Fundraising or revenue-sharing may need school-community-council and division financial approval.,SaskTenders or vendor setup may apply depending on value and structure; do not assume a small event licence requires a tender.,"If the ceremony is off-site, the venue’s written vendor and loading rules also apply.",Medium,2026-06-26
Île-à-la-Crosse School Division No. 112,Procurement / outside vendor,Division policy manual and Saskatchewan public tender route,"https://www.rossignolschools.com/ — policy/manual search required for fundraising, sponsorship, facility use and logo permission.; https://sasktenders.ca/","Public school divisions govern contracts, school-generated funds, facilities, branding and purchasing through division policies and delegated administrative procedures.","A small school-level pilot may begin informally with the principal, but contracts, division-wide arrangements, logo use, insurance or revenue sharing may trigger division review.",Principal/graduation organizer first; finance/operations or procurement for formal terms; director only for strategic escalation.,Exact commercial general-liability limits were not publicly standardized across divisions; written confirmation is required.,"School/division names, logos and apparel designs require written permission.",Fundraising or revenue-sharing may need school-community-council and division financial approval.,SaskTenders or vendor setup may apply depending on value and structure; do not assume a small event licence requires a tender.,"If the ceremony is off-site, the venue’s written vendor and loading rules also apply.",Medium,2026-06-26
Light of Christ Roman Catholic Separate School Division No. 16,Procurement / outside vendor,Division policy manual and Saskatchewan public tender route,"https://www.loccsd.ca/ — policy/manual search required for fundraising, sponsorship, facility use and logo permission.; https://sasktenders.ca/","Public school divisions govern contracts, school-generated funds, facilities, branding and purchasing through division policies and delegated administrative procedures.","A small school-level pilot may begin informally with the principal, but contracts, division-wide arrangements, logo use, insurance or revenue sharing may trigger division review.",Principal/graduation organizer first; finance/operations or procurement for formal terms; director only for strategic escalation.,Exact commercial general-liability limits were not publicly standardized across divisions; written confirmation is required.,"School/division names, logos and apparel designs require written permission.",Fundraising or revenue-sharing may need school-community-council and division financial approval.,SaskTenders or vendor setup may apply depending on value and structure; do not assume a small event licence requires a tender.,"If the ceremony is off-site, the venue’s written vendor and loading rules also apply.",Medium,2026-06-26
