Metric,Value,,
Date verified,2026-06-26,,
Official Saskatchewan school divisions researched,27,,
Equivalent Indigenous education authorities researched,6,,
Total organization rows,33,,
High schools and senior-secondary programs researched,123,,
Contact records,445,,
Named contacts,194,,
Operational/routing/procurement/venue/communications contacts,287,,
Trustee records,118,,
Verified personal emails,20,,
Verified departmental emails,2,,
General organization email routes,6,,
Contacts requiring phone/contact-form research,417,,
Confirmed 2026 or 2027 graduation events,11,,
Outside venues/contact routes identified,12,,
Tier 1 school opportunities,40,,
Tier 2 school opportunities,45,,
Research gaps documented,168,,
Priority outreach contacts ranked,100,,
,,,
,,,
Top School,City,Tier,Score
Walter Murray Collegiate,Saskatoon,Tier 1,94
St. Joseph High School,Saskatoon,Tier 1,94
Tommy Douglas Collegiate,Saskatoon,Tier 1,93
Holy Cross High School,Saskatoon,Tier 1,93
Campbell Collegiate,Regina,Tier 1,93
Centennial Collegiate,Saskatoon,Tier 1,92
Winston Knoll Collegiate,Regina,Tier 1,92
Dr. Martin LeBoldus Catholic High School,Regina,Tier 1,92
Michael A. Riffel Catholic High School,Regina,Tier 1,92
Miller Comprehensive Catholic High School,Regina,Tier 1,92
Evan Hardy Collegiate,Saskatoon,Tier 1,91
Marion M. Graham Collegiate,Saskatoon,Tier 1,91
Bethlehem Catholic High School,Saskatoon,Tier 1,91
Sheldon-Williams Collegiate,Regina,Tier 1,90
Archbishop M.C. O’Neill Catholic High School,Regina,Tier 1,90
Carlton Comprehensive High School,Prince Albert,Tier 1,90
Bishop James Mahoney High School,Saskatoon,Tier 1,89
F.W. Johnson Collegiate,Regina,Tier 1,89
Aden Bowman Collegiate,Saskatoon,Tier 1,88
Yorkton Regional High School,Yorkton,Tier 1,88
