Event ID,School,Division,Event name,Confirmed or estimated date,Ceremony time,Venue,Venue operator,City,Approximate graduates,Estimated attendance,Primary school contact,Venue contact,Existing vendor,Product fit,Approval authority,Opportunity score,Opportunity tier,Recommended next step,Source,Date verified
EVT-001,Aden Bowman Collegiate,Saskatoon School Division No. 13,Aden Bowman Collegiate Grade 12 Graduation,Estimated annual late May–June timing; no confirmed 2026 or 2027 date was publicly located.,"Not publicly available after official graduation, calendar and venue-page checks.","Not publicly available after official school calendar, graduation-page and venue searches.",Venue/operator not publicly identified because the current ceremony location was not confirmed.,Saskatoon,Estimated 180–260 graduates; verify with school.,"Estimated 600–1,800 guests based on a large urban graduating class; confirm ticketing and venue capacity.",Ryan Brimacombe,Venue contact cannot be finalized until the school confirms the ceremony location.,No current flower or graduation-gift vendor was publicly verified for this school event.,"Very strong: flowers, bears, necklaces, approved school apparel/keepsakes and family preorder bundles.",School principal/graduation committee; division review may apply; venue approval must be added once venue is known,88,Tier 1,"Call the school office to confirm the next date, venue, graduating class and graduation lead before proposing inventory.",https://www.spsd.sk.ca/adenbowman; https://www.spsd.sk.ca/,2026-06-26
EVT-002,Bedford Road Collegiate,Saskatoon School Division No. 13,Bedford Road Collegiate Grade 12 Graduation,Estimated annual late May–June timing; no confirmed 2026 or 2027 date was publicly located.,"Not publicly available after official graduation, calendar and venue-page checks.","Not publicly available after official school calendar, graduation-page and venue searches.",Venue/operator not publicly identified because the current ceremony location was not confirmed.,Saskatoon,Estimated 120–200 graduates; verify with school.,"Estimated 600–1,800 guests based on a large urban graduating class; confirm ticketing and venue capacity.",Sarah Nahachewsky,Venue contact cannot be finalized until the school confirms the ceremony location.,No current flower or graduation-gift vendor was publicly verified for this school event.,"Very strong: flowers, bears, necklaces, approved school apparel/keepsakes and family preorder bundles.",School principal/graduation committee; division review may apply; venue approval must be added once venue is known,85,Tier 1,"Call the school office to confirm the next date, venue, graduating class and graduation lead before proposing inventory.",https://www.spsd.sk.ca/bedfordroad; https://www.spsd.sk.ca/,2026-06-26
EVT-003,Centennial Collegiate,Saskatoon School Division No. 13,Centennial Collegiate Grade 12 Graduation,Estimated annual late May–June timing; no confirmed 2026 or 2027 date was publicly located.,"Not publicly available after official graduation, calendar and venue-page checks.","Not publicly available after official school calendar, graduation-page and venue searches.",Venue/operator not publicly identified because the current ceremony location was not confirmed.,Saskatoon,Estimated 250–350 graduates; verify with school.,"Estimated 600–1,800 guests based on a large urban graduating class; confirm ticketing and venue capacity.",Wendy Benson,Venue contact cannot be finalized until the school confirms the ceremony location.,No current flower or graduation-gift vendor was publicly verified for this school event.,"Very strong: flowers, bears, necklaces, approved school apparel/keepsakes and family preorder bundles.",School principal/graduation committee; division review may apply; venue approval must be added once venue is known,92,Tier 1,"Call the school office to confirm the next date, venue, graduating class and graduation lead before proposing inventory.",https://www.spsd.sk.ca/centennial; https://www.spsd.sk.ca/,2026-06-26
EVT-004,Evan Hardy Collegiate,Saskatoon School Division No. 13,Evan Hardy Collegiate Grade 12 Graduation,Estimated annual late May–June timing; no confirmed 2026 or 2027 date was publicly located.,"Not publicly available after official graduation, calendar and venue-page checks.","Not publicly available after official school calendar, graduation-page and venue searches.",Venue/operator not publicly identified because the current ceremony location was not confirmed.,Saskatoon,Estimated 220–320 graduates; verify with school.,"Estimated 600–1,800 guests based on a large urban graduating class; confirm ticketing and venue capacity.",Karen Peterson,Venue contact cannot be finalized until the school confirms the ceremony location.,No current flower or graduation-gift vendor was publicly verified for this school event.,"Very strong: flowers, bears, necklaces, approved school apparel/keepsakes and family preorder bundles.",School principal/graduation committee; division review may apply; venue approval must be added once venue is known,91,Tier 1,"Call the school office to confirm the next date, venue, graduating class and graduation lead before proposing inventory.",https://www.spsd.sk.ca/evanhardy; https://www.spsd.sk.ca/,2026-06-26
EVT-005,Marion M. Graham Collegiate,Saskatoon School Division No. 13,Marion M. Graham Collegiate Grade 12 Graduation,Estimated annual late May–June timing; no confirmed 2026 or 2027 date was publicly located.,"Not publicly available after official graduation, calendar and venue-page checks.","Not publicly available after official school calendar, graduation-page and venue searches.",Venue/operator not publicly identified because the current ceremony location was not confirmed.,Saskatoon,Estimated 220–320 graduates; verify with school.,"Estimated 600–1,800 guests based on a large urban graduating class; confirm ticketing and venue capacity.",Jay Harvey,Venue contact cannot be finalized until the school confirms the ceremony location.,No current flower or graduation-gift vendor was publicly verified for this school event.,"Very strong: flowers, bears, necklaces, approved school apparel/keepsakes and family preorder bundles.",School principal/graduation committee; division review may apply; venue approval must be added once venue is known,91,Tier 1,"Call the school office to confirm the next date, venue, graduating class and graduation lead before proposing inventory.",https://www.spsd.sk.ca/marionmgraham; https://www.spsd.sk.ca/,2026-06-26
EVT-006,Mount Royal Collegiate,Saskatoon School Division No. 13,Mount Royal Collegiate Grade 12 Graduation,Estimated annual late May–June timing; no confirmed 2026 or 2027 date was publicly located.,"Not publicly available after official graduation, calendar and venue-page checks.","Not publicly available after official school calendar, graduation-page and venue searches.",Venue/operator not publicly identified because the current ceremony location was not confirmed.,Saskatoon,Estimated 140–220 graduates; verify with school.,"Estimated 600–1,800 guests based on a large urban graduating class; confirm ticketing and venue capacity.",Scott Ferguson,Venue contact cannot be finalized until the school confirms the ceremony location.,No current flower or graduation-gift vendor was publicly verified for this school event.,"Very strong: flowers, bears, necklaces, approved school apparel/keepsakes and family preorder bundles.",School principal/graduation committee; division review may apply; venue approval must be added once venue is known,86,Tier 1,"Call the school office to confirm the next date, venue, graduating class and graduation lead before proposing inventory.",https://www.spsd.sk.ca/mountroyal; https://www.spsd.sk.ca/,2026-06-26
EVT-007,Nutana Collegiate,Saskatoon School Division No. 13,Nutana Collegiate Grade 12 Graduation,Estimated annual late May–June timing; no confirmed 2026 or 2027 date was publicly located.,"Not publicly available after official graduation, calendar and venue-page checks.","Not publicly available after official school calendar, graduation-page and venue searches.",Venue/operator not publicly identified because the current ceremony location was not confirmed.,Saskatoon,Graduating cohort is program-dependent; exact count requires school confirmation.,Estimated 250–900 guests; confirm with school.,School office / principal routing,Venue contact cannot be finalized until the school confirms the ceremony location.,No current flower or graduation-gift vendor was publicly verified for this school event.,Strong: flowers and smaller preorder bundles; inventory should match confirmed attendance.,School principal/graduation committee; division review may apply; venue approval must be added once venue is known,76,Tier 2,"Call the school office to confirm the next date, venue, graduating class and graduation lead before proposing inventory.",https://www.spsd.sk.ca/nutana; https://www.spsd.sk.ca/,2026-06-26
EVT-008,Tommy Douglas Collegiate,Saskatoon School Division No. 13,Tommy Douglas Collegiate Grade 12 Graduation,Estimated annual late May–June timing; no confirmed 2026 or 2027 date was publicly located.,"Not publicly available after official graduation, calendar and venue-page checks.","Not publicly available after official school calendar, graduation-page and venue searches.",Venue/operator not publicly identified because the current ceremony location was not confirmed.,Saskatoon,Estimated 250–350 graduates; verify with school.,"Estimated 600–1,800 guests based on a large urban graduating class; confirm ticketing and venue capacity.",Kevin McNarland,Venue contact cannot be finalized until the school confirms the ceremony location.,No current flower or graduation-gift vendor was publicly verified for this school event.,"Very strong: flowers, bears, necklaces, approved school apparel/keepsakes and family preorder bundles.",School principal/graduation committee; division review may apply; venue approval must be added once venue is known,93,Tier 1,"Call the school office to confirm the next date, venue, graduating class and graduation lead before proposing inventory.",https://www.spsd.sk.ca/tommydouglas; https://www.spsd.sk.ca/,2026-06-26
EVT-009,Walter Murray Collegiate,Saskatoon School Division No. 13,Walter Murray Collegiate Grade 12 Graduation,Estimated annual late May–June timing; no confirmed 2026 or 2027 date was publicly located.,"Not publicly available after official graduation, calendar and venue-page checks.","Not publicly available after official school calendar, graduation-page and venue searches.",Venue/operator not publicly identified because the current ceremony location was not confirmed.,Saskatoon,Estimated 280–400 graduates; verify with school.,"Estimated 600–1,800 guests based on a large urban graduating class; confirm ticketing and venue capacity.",Dave Fisher,Venue contact cannot be finalized until the school confirms the ceremony location.,No current flower or graduation-gift vendor was publicly verified for this school event.,"Very strong: flowers, bears, necklaces, approved school apparel/keepsakes and family preorder bundles.",School principal/graduation committee; division review may apply; venue approval must be added once venue is known,94,Tier 1,"Call the school office to confirm the next date, venue, graduating class and graduation lead before proposing inventory.",https://www.spsd.sk.ca/waltermurray; https://www.spsd.sk.ca/,2026-06-26
EVT-010,Estey School Secondary Program,Saskatoon School Division No. 13,Estey School Secondary Program Grade 12 Graduation,Estimated annual late May–June timing; no confirmed 2026 or 2027 date was publicly located.,"Not publicly available after official graduation, calendar and venue-page checks.","Not publicly available after official school calendar, graduation-page and venue searches.",Venue/operator not publicly identified because the current ceremony location was not confirmed.,Saskatoon,Estimated 30–80 graduates; verify with school.,Estimated 75–400 guests; confirm with school.,School office / principal routing,Venue contact cannot be finalized until the school confirms the ceremony location.,No current flower or graduation-gift vendor was publicly verified for this school event.,Moderate: preorder-first pilot with limited inventory.,School principal/graduation committee; division review may apply; venue approval must be added once venue is known,62,Tier 3,"Call the school office to confirm the next date, venue, graduating class and graduation lead before proposing inventory.",https://www.spsd.sk.ca/estey; https://www.spsd.sk.ca/,2026-06-26
EVT-011,Bethlehem Catholic High School,St. Paul’s Roman Catholic Separate School Division No. 20 / Greater Saskatoon Catholic Schools,Bethlehem Catholic High School Grade 12 Graduation,Estimated annual late May–June timing; no confirmed 2026 or 2027 date was publicly located.,"Not publicly available after official graduation, calendar and venue-page checks.","Not publicly available after official school calendar, graduation-page and venue searches.",Venue/operator not publicly identified because the current ceremony location was not confirmed.,Saskatoon,Estimated 200–300 graduates; verify with school.,"Estimated 600–1,800 guests based on a large urban graduating class; confirm ticketing and venue capacity.",School office / principal routing,Venue contact cannot be finalized until the school confirms the ceremony location.,No current flower or graduation-gift vendor was publicly verified for this school event.,"Very strong: flowers, bears, necklaces, approved school apparel/keepsakes and family preorder bundles.",School principal/graduation committee; division review may apply; venue approval must be added once venue is known,91,Tier 1,"Call the school office to confirm the next date, venue, graduating class and graduation lead before proposing inventory.",https://www.gscs.ca/bet; https://www.gscs.ca/,2026-06-26
EVT-012,Bishop James Mahoney High School,St. Paul’s Roman Catholic Separate School Division No. 20 / Greater Saskatoon Catholic Schools,Bishop James Mahoney High School Grade 12 Graduation,Estimated annual late May–June timing; no confirmed 2026 or 2027 date was publicly located.,"Not publicly available after official graduation, calendar and venue-page checks.","Not publicly available after official school calendar, graduation-page and venue searches.",Venue/operator not publicly identified because the current ceremony location was not confirmed.,Saskatoon,Estimated 180–260 graduates; verify with school.,"Estimated 600–1,800 guests based on a large urban graduating class; confirm ticketing and venue capacity.",Cheryl Fenrich,Venue contact cannot be finalized until the school confirms the ceremony location.,No current flower or graduation-gift vendor was publicly verified for this school event.,"Very strong: flowers, bears, necklaces, approved school apparel/keepsakes and family preorder bundles.",School principal/graduation committee; division review may apply; venue approval must be added once venue is known,89,Tier 1,"Call the school office to confirm the next date, venue, graduating class and graduation lead before proposing inventory.",https://www.gscs.ca/bjm; https://www.gscs.ca/,2026-06-26
EVT-013,Bishop Murray High School,St. Paul’s Roman Catholic Separate School Division No. 20 / Greater Saskatoon Catholic Schools,Bishop Murray High School Grade 12 Graduation,Estimated annual late May–June timing; no confirmed 2026 or 2027 date was publicly located.,"Not publicly available after official graduation, calendar and venue-page checks.","Not publicly available after official school calendar, graduation-page and venue searches.",Venue/operator not publicly identified because the current ceremony location was not confirmed.,Saskatoon,Program-dependent graduating cohort; verify with school.,Estimated 75–400 guests; confirm with school.,School office / principal routing,Venue contact cannot be finalized until the school confirms the ceremony location.,No current flower or graduation-gift vendor was publicly verified for this school event.,Moderate: preorder-first pilot with limited inventory.,School principal/graduation committee; division review may apply; venue approval must be added once venue is known,61,Tier 3,"Call the school office to confirm the next date, venue, graduating class and graduation lead before proposing inventory.",https://www.gscs.ca/bmu; https://www.gscs.ca/,2026-06-26
EVT-014,E.D. Feehan Catholic High School,St. Paul’s Roman Catholic Separate School Division No. 20 / Greater Saskatoon Catholic Schools,E.D. Feehan Catholic High School Grade 12 Graduation,Estimated annual late May–June timing; no confirmed 2026 or 2027 date was publicly located.,"Not publicly available after official graduation, calendar and venue-page checks.","Not publicly available after official school calendar, graduation-page and venue searches.",Venue/operator not publicly identified because the current ceremony location was not confirmed.,Saskatoon,Estimated 120–200 graduates; verify with school.,Estimated 250–900 guests; confirm with school.,School office / principal routing,Venue contact cannot be finalized until the school confirms the ceremony location.,No current flower or graduation-gift vendor was publicly verified for this school event.,"Very strong: flowers, bears, necklaces, approved school apparel/keepsakes and family preorder bundles.",School principal/graduation committee; division review may apply; venue approval must be added once venue is known,84,Tier 1,"Call the school office to confirm the next date, venue, graduating class and graduation lead before proposing inventory.",https://www.gscs.ca/edf; https://www.gscs.ca/,2026-06-26
EVT-015,Holy Cross High School,St. Paul’s Roman Catholic Separate School Division No. 20 / Greater Saskatoon Catholic Schools,Holy Cross High School Grade 12 Graduation,Estimated annual late May–June timing; no confirmed 2026 or 2027 date was publicly located.,"Not publicly available after official graduation, calendar and venue-page checks.","Not publicly available after official school calendar, graduation-page and venue searches.",Venue/operator not publicly identified because the current ceremony location was not confirmed.,Saskatoon,Estimated 250–350 graduates; verify with school.,"Estimated 600–1,800 guests based on a large urban graduating class; confirm ticketing and venue capacity.",Krista Hayes,Venue contact cannot be finalized until the school confirms the ceremony location.,No current flower or graduation-gift vendor was publicly verified for this school event.,"Very strong: flowers, bears, necklaces, approved school apparel/keepsakes and family preorder bundles.",School principal/graduation committee; division review may apply; venue approval must be added once venue is known,93,Tier 1,"Call the school office to confirm the next date, venue, graduating class and graduation lead before proposing inventory.",https://www.gscs.ca/hch; https://www.gscs.ca/,2026-06-26
EVT-016,Oskāyak High School,St. Paul’s Roman Catholic Separate School Division No. 20 / Greater Saskatoon Catholic Schools,Oskāyak High School Grade 12 Graduation,2026-06-24 — Confirmed,"Not publicly available after official graduation, calendar and venue-page checks.","TCU Place, Sid Buckwold Theatre",TCU Place / City of Saskatoon,Saskatoon,Estimated 25–70 graduates; verify with school.,"Estimated 600–1,800 guests based on a large urban graduating class; confirm ticketing and venue capacity.",School office / principal routing,TCU Place Event Sales — inquiries@tcuplace.com / 306-975-7777,No current flower or graduation-gift vendor was publicly verified for this school event.,"Very strong: flowers, bears, necklaces, approved school apparel/keepsakes and family preorder bundles.","School principal/gradation committee, division administration where required, and outside venue",86,Tier 1,"Contact the school office/principal now, confirm the graduation lead and ask whether the venue or division controls retail.",https://www.gscs.ca/osk; https://www.gscs.ca/,2026-06-26
EVT-017,St. Joseph High School,St. Paul’s Roman Catholic Separate School Division No. 20 / Greater Saskatoon Catholic Schools,St. Joseph High School Grade 12 Graduation,2026 graduation information page confirmed; exact ceremony date was not captured.,"Not publicly available after official graduation, calendar and venue-page checks.","Not publicly available after official school calendar, graduation-page and venue searches.",Venue/operator not publicly identified because the current ceremony location was not confirmed.,Saskatoon,Estimated 250–380 graduates; verify with school.,"Estimated 600–1,800 guests based on a large urban graduating class; confirm ticketing and venue capacity.",Jason Benson,Venue contact cannot be finalized until the school confirms the ceremony location.,No current flower or graduation-gift vendor was publicly verified for this school event.,"Very strong: flowers, bears, necklaces, approved school apparel/keepsakes and family preorder bundles.",School principal/graduation committee; division review may apply; venue approval must be added once venue is known,94,Tier 1,"Call the school office to confirm the next date, venue, graduating class and graduation lead before proposing inventory.",https://www.gscs.ca/jos; https://www.gscs.ca/,2026-06-26
EVT-018,Balfour Collegiate,Regina School Division No. 4,Balfour Collegiate Grade 12 Graduation,Estimated annual late May–June timing; no confirmed 2026 or 2027 date was publicly located.,"Not publicly available after official graduation, calendar and venue-page checks.","Not publicly available after official school calendar, graduation-page and venue searches.",Venue/operator not publicly identified because the current ceremony location was not confirmed.,Regina,Estimated 150–350 graduates depending school; verify directly.,"Estimated 600–1,800 guests based on a large urban graduating class; confirm ticketing and venue capacity.",School office / principal routing,Venue contact cannot be finalized until the school confirms the ceremony location.,No current flower or graduation-gift vendor was publicly verified for this school event.,"Very strong: flowers, bears, necklaces, approved school apparel/keepsakes and family preorder bundles.",School principal/graduation committee; division review may apply; venue approval must be added once venue is known,86,Tier 1,"Call the school office to confirm the next date, venue, graduating class and graduation lead before proposing inventory.",https://www.reginapublicschools.ca/high-schools; https://www.reginapublicschools.ca/,2026-06-26
EVT-019,Campbell Collegiate,Regina School Division No. 4,Campbell Collegiate Grade 12 Graduation,2026-06-24 — Confirmed,"Not publicly available after official graduation, calendar and venue-page checks.",Conexus Arts Centre,Conexus Arts Centre,Regina,Estimated 150–350 graduates depending school; verify directly.,"Estimated 600–1,800 guests based on a large urban graduating class; confirm ticketing and venue capacity.",School office / principal routing,Conexus Arts Centre Event Spaces — reception@conexusartscentre.ca / 306-565-4500,No current flower or graduation-gift vendor was publicly verified for this school event.,"Very strong: flowers, bears, necklaces, approved school apparel/keepsakes and family preorder bundles.","School principal/gradation committee, division administration where required, and outside venue",93,Tier 1,"Contact the school office/principal now, confirm the graduation lead and ask whether the venue or division controls retail.",https://www.reginapublicschools.ca/high-schools; https://www.reginapublicschools.ca/,2026-06-26
