Organization,Missing information,Searches attempted,Sources checked,Best person or office to call,Phone number,Exact question to ask,Priority,Recommended next action
All Phase 1 connections,Original Phase 1 workbook and exact school/venue/contact rows,Checked mounted files and project context; only the Phase 2 specification was available,/mnt/data file listing and project context,Bloom Boys internal project owner,Not applicable to this record.,Please provide the original Phase 1 workbook so provisional connections can be reconciled.,Critical,"Import later and match school, venue, contact and source IDs without modifying Phase 1"
University of Saskatchewan,"Incumbent flower contract scope, term and exclusivity","Reviewed official organization, event, staff/contact and procurement/venue pages; targeted role searches did not resolve the field",https://students.usask.ca/academics/graduation.php,Convocation Office,1-877-650-1212,"Is The Commencement Group exclusive for on-site or online flowers, and when is the arrangement reviewed?",Critical,"Contact the listed office and record the answer, respondent, date and source in the CRM"
University of Regina,Final authority over external flower/gift retail,"Reviewed official organization, event, staff/contact and procurement/venue pages; targeted role searches did not resolve the field",https://www.uregina.ca/convocation/,Convocation Coordinator,306-585-4584,"Who gives final approval for an external vendor in CKHS, and which offices also sign off?",Critical,"Contact the listed office and record the answer, respondent, date and source in the CRM"
University of Regina,Whether a flower vendor operated under a non-public 2026 agreement,"Reviewed official organization, event, staff/contact and procurement/venue pages; targeted role searches did not resolve the field",https://www.uregina.ca/convocation/,Convocation Coordinator,306-585-4584,"Was any flower, bear, frame or keepsake vendor authorized for Spring 2026?",Critical,"Contact the listed office and record the answer, respondent, date and source in the CRM"
Saskatchewan Polytechnic,Campus Store supplier contact and flower sourcing arrangement,"Reviewed official organization, event, staff/contact and procurement/venue pages; targeted role searches did not resolve the field",https://saskpolytech.ca/student-services/student-life/convocation/gifts.aspx,Convocation Office / Campus Store,1-866-467-4278,"Who procures flowers and commemorative products, and can a local supplier propose additions?",Critical,"Contact the listed office and record the answer, respondent, date and source in the CRM"
SIIT,Event-floor retail rights and 2027 organizer,"Reviewed official organization, event, staff/contact and procurement/venue pages; targeted role searches did not resolve the field",https://siit.ca/grad-2026/,SIIT Advancement,306-244-4460,"Does Advancement control all graduation merchandise, and who approves on-site or preorder products?",Critical,"Contact the listed office and record the answer, respondent, date and source in the CRM"
First Nations University of Canada,"Operator behind existing flowers, frames and T-shirts","Reviewed official organization, event, staff/contact and procurement/venue pages; targeted role searches did not resolve the field",https://www.fnuniv.ca/academic/registrars-office/graduation-and-convocation/,FNUniv Convocation,306-790-5950,"Who supplies the products on the graduation page, and are complementary products considered?",High,"Contact the listed office and record the answer, respondent, date and source in the CRM"
Gabriel Dumont Institute,"Program-by-program 2027 dates, venues and organizers","Reviewed official organization, event, staff/contact and procurement/venue pages; targeted role searches did not resolve the field",https://gdins.org/category/graduation/,GDI General Information,1-877-488-6888,"Who organizes the next SUNTEP, GDC and DTI graduations, and what are the dates/venues?",High,"Contact the listed office and record the answer, respondent, date and source in the CRM"
Carlton Trail College,"2027 dates, venues, attendance and vendor rules","Reviewed official organization, event, staff/contact and procurement/venue pages; targeted role searches did not resolve the field",https://www.carltontrailcollege.com/admissions/enrolment-services/graduation-and-program-celebrations/,Enrolment Services,"Not publicly available after checks of the official website, staff directory, contact page, relevant event or procurement page, and targeted role search; phone or contact-form routing required.","What are the next Humboldt and Punnichy dates, attendance and vendor requirements?",High,"Contact the listed office and record the answer, respondent, date and source in the CRM"
Great Plains College,Central 2027 event calendar and owners,"Reviewed official organization, event, staff/contact and procurement/venue pages; targeted role searches did not resolve the field",https://www.greatplainscollege.ca/experience-gpc/student-associations,Mackenzie Veason / Student Services,306-778-5480,"Which campuses hold formal ceremonies, and who approves vendors at each?",High,"Contact the listed office and record the answer, respondent, date and source in the CRM"
North West College,"Current ceremony count, dates, venues and attendance","Reviewed official organization, event, staff/contact and procurement/venue pages; targeted role searches did not resolve the field",https://www.northwestcollege.ca/current_students/graduation.html,Maureen Forbes,306-937-5100,"What is the next graduation schedule by campus, with graduate and guest counts?",High,"Contact the listed office and record the answer, respondent, date and source in the CRM"
