Organization ID,Organization,Sector,Organization type,Ceremony or event,Event date or timing,Venue,Approximate attendance,Executive director,Events contact,Membership contact,Partnerships contact,Email,Phone,Product fit,Opportunity tier,Opportunity score,Recommended approach,Source,Date verified
TPB-001,Saskatchewan Apprenticeship and Trade Certification Commission,Skilled trades,Provincial commission,Apprenticeship Celebration Dinner,2026-11-06 — Confirmed,2026 venue requires confirmation; 2024 used Conexus,Historically 400+ attendees,Current CEO should be verified through government directory,Celebration Dinner Team,SATCC general office,Dinner sponsorship team,"Not publicly available after checks of the official website, staff directory, contact page, relevant event or procurement page, and targeted role search; phone or contact-form routing required.",1-877-363-0536,"High for award bouquets, sponsor-funded keepsakes and guest preorders",Tier 1,88,"Request sponsor package and propose recipient gifting, not assumed open retail",https://saskapprenticeship.ca/apprenticeship-celebration-dinner/,2026-06-26
TPB-002,CPA Saskatchewan,Accounting,Professional regulatory/member body,CPA Convocation,2026 — Confirmed listing; exact date/venue requires confirmation,Venue not captured,Likely several hundred; confirm,CEO — verify current officeholder,Convocation and Events Team,Member Services,Partnerships/Sponsorship contact should be requested,"Not publicly available after checks of the official website, staff directory, contact page, relevant event or procurement page, and targeted role search; phone or contact-form routing required.","Not publicly available after checks of the official website, staff directory, contact page, relevant event or procurement page, and targeted role search; phone or contact-form routing required.","Very high for designation flowers, frames and premium keepsakes",Tier 1,87,Contact Events/Member Services for vendor and preorder rules,https://member.cpask.ca/cpa/CPA/Member_Events/Convocation/ConvocationEventDetail.aspx?EventKey=CONVO2026,2026-06-26
TPB-003,Association of Professional Engineers and Geoscientists of Saskatchewan,Engineering and geoscience,Professional regulator,2026 APEGS Awards Banquet,2026 — Confirmed,Venue listed in registration; confirm directly,Professional audience; exact count not public,Executive Director/Registrar — verify current officeholder,Awards and Events Team,Member Services,Sponsorship contact should be requested,"Not publicly available after checks of the official website, staff directory, contact page, relevant event or procurement page, and targeted role search; phone or contact-form routing required.","Not publicly available after checks of the official website, staff directory, contact page, relevant event or procurement page, and targeted role search; phone or contact-form routing required.",Strong for award bouquets and sponsor gifts,Tier 2,82,Propose recipient gifting or sponsor-funded display,https://www.apegs.ca/event/2026-apegs-awards-banquet,2026-06-26
TPB-004,Law Society of Saskatchewan,Law,Professional regulator,Convocation / recognition events,2026 details not public; 2024 convocation page remains online,Venue not publicly confirmed,Attendance not publicly verified,Executive leader should be verified,Events/Communications contact should be requested,Member/Registration Services,Partnerships/Sponsorship contact should be requested,"Not publicly available after checks of the official website, staff directory, contact page, relevant event or procurement page, and targeted role search; phone or contact-form routing required.","Not publicly available after checks of the official website, staff directory, contact page, relevant event or procurement page, and targeted role search; phone or contact-form routing required.",Moderate; institution-level ceremonies may be stronger,Tier 3,64,Ask for annual recognition calendar and operational event owner before proposing products,https://www.lawsociety.sk.ca/about-us/convocation/,2026-06-26
TPB-005,College of Registered Nurses of Saskatchewan,Nursing,Professional regulator,"Registration, awards or recognition",No qualifying public ceremony identified,Venue not publicly confirmed,Attendance not publicly verified,Executive leader should be verified,Events/Communications contact should be requested,Member/Registration Services,Partnerships/Sponsorship contact should be requested,"Not publicly available after checks of the official website, staff directory, contact page, relevant event or procurement page, and targeted role search; phone or contact-form routing required.","Not publicly available after checks of the official website, staff directory, contact page, relevant event or procurement page, and targeted role search; phone or contact-form routing required.",Moderate; institution-level ceremonies may be stronger,Tier 3,60,Ask for annual recognition calendar and operational event owner before proposing products,https://www.crns.ca/,2026-06-26
TPB-006,Saskatchewan Association of Licensed Practical Nurses,Nursing,Professional regulator,Member recognition / conference,Annual timing; exact ceremony not public,Venue not publicly confirmed,Attendance not publicly verified,Executive leader should be verified,Events/Communications contact should be requested,Member/Registration Services,Partnerships/Sponsorship contact should be requested,"Not publicly available after checks of the official website, staff directory, contact page, relevant event or procurement page, and targeted role search; phone or contact-form routing required.","Not publicly available after checks of the official website, staff directory, contact page, relevant event or procurement page, and targeted role search; phone or contact-form routing required.",Moderate; institution-level ceremonies may be stronger,Tier 3,59,Ask for annual recognition calendar and operational event owner before proposing products,https://salpn.com/,2026-06-26
TPB-007,Registered Psychiatric Nurses Association of Saskatchewan,Nursing,Professional regulator,Member recognition / conference,Annual timing; exact ceremony not public,Venue not publicly confirmed,Attendance not publicly verified,Executive leader should be verified,Events/Communications contact should be requested,Member/Registration Services,Partnerships/Sponsorship contact should be requested,"Not publicly available after checks of the official website, staff directory, contact page, relevant event or procurement page, and targeted role search; phone or contact-form routing required.","Not publicly available after checks of the official website, staff directory, contact page, relevant event or procurement page, and targeted role search; phone or contact-form routing required.",Moderate; institution-level ceremonies may be stronger,Tier 3,58,Ask for annual recognition calendar and operational event owner before proposing products,https://www.rpnas.com/,2026-06-26
TPB-008,College of Physicians and Surgeons of Saskatchewan,Medicine,Professional regulator,Professional recognition,No public induction event identified,Venue not publicly confirmed,Attendance not publicly verified,Executive leader should be verified,Events/Communications contact should be requested,Member/Registration Services,Partnerships/Sponsorship contact should be requested,"Not publicly available after checks of the official website, staff directory, contact page, relevant event or procurement page, and targeted role search; phone or contact-form routing required.","Not publicly available after checks of the official website, staff directory, contact page, relevant event or procurement page, and targeted role search; phone or contact-form routing required.",Moderate; institution-level ceremonies may be stronger,Tier 4,45,Ask for annual recognition calendar and operational event owner before proposing products,https://www.cps.sk.ca/,2026-06-26
TPB-009,Saskatchewan College of Pharmacy Professionals,Pharmacy,Professional regulator,Registration or recognition,No public ceremony identified,Venue not publicly confirmed,Attendance not publicly verified,Executive leader should be verified,Events/Communications contact should be requested,Member/Registration Services,Partnerships/Sponsorship contact should be requested,"Not publicly available after checks of the official website, staff directory, contact page, relevant event or procurement page, and targeted role search; phone or contact-form routing required.","Not publicly available after checks of the official website, staff directory, contact page, relevant event or procurement page, and targeted role search; phone or contact-form routing required.",Moderate; institution-level ceremonies may be stronger,Tier 3,55,Ask for annual recognition calendar and operational event owner before proposing products,https://saskpharm.ca/,2026-06-26
TPB-010,College of Dental Surgeons of Saskatchewan,Dentistry,Professional regulator,Professional recognition,No public ceremony identified,Venue not publicly confirmed,Attendance not publicly verified,Executive leader should be verified,Events/Communications contact should be requested,Member/Registration Services,Partnerships/Sponsorship contact should be requested,"Not publicly available after checks of the official website, staff directory, contact page, relevant event or procurement page, and targeted role search; phone or contact-form routing required.","Not publicly available after checks of the official website, staff directory, contact page, relevant event or procurement page, and targeted role search; phone or contact-form routing required.",Moderate; institution-level ceremonies may be stronger,Tier 3,54,Ask for annual recognition calendar and operational event owner before proposing products,https://saskdentists.com/,2026-06-26
