School ID,School name,School division,School type,City,Address,Website,General email,Phone,Principal,Vice-principal,Graduation coordinator,Administrative assistant,Student leadership contact,Approximate enrolment,Approximate graduating class,Graduation date,Graduation venue,Graduation page,Opportunity tier,Opportunity score,Main approval route,Main contact,Backup contact,Notes,Source URLs,Date verified
SCH-001,Aden Bowman Collegiate,Saskatoon School Division No. 13,Urban public collegiate,Saskatoon,"Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.",https://www.spsd.sk.ca/adenbowman,"Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.","Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.",Ryan Brimacombe,Chris Roy; Tobi Tamblyn,Not publicly identified.,"Not publicly identified after official school, division, staff-directory and graduation-page checks.","Not publicly identified after official school, division, staff-directory and graduation-page checks.","Estimated 900–1,200 students; verify with school.",Estimated 180–260 graduates; verify with school.,Estimated annual late May–June timing; no confirmed 2026 or 2027 date was publicly located.,"Not publicly available after official school calendar, graduation-page and venue searches.","Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.",Tier 1,88,"School-level approval likely through the principal and graduation committee; division review may be required for contracts, fundraising, logo use or revenue sharing; outside-venue approval is also required when the ceremony is off-site.",Ryan Brimacombe,Saskatoon School Division No. 13 main office — 306-683-8200,"Graduation coordinator was not publicly identified. Recommended phone question: 'Who is the staff member leading the next Grade 12 graduation, and who approves an outside flower or keepsake vendor?'",https://www.spsd.sk.ca/adenbowman; https://www.spsd.sk.ca/,2026-06-26
SCH-002,Bedford Road Collegiate,Saskatoon School Division No. 13,Urban public collegiate,Saskatoon,"Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.",https://www.spsd.sk.ca/bedfordroad,"Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.","Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.",Sarah Nahachewsky,Jason Wagar,Not publicly identified.,"Not publicly identified after official school, division, staff-directory and graduation-page checks.","Carol Whitecalf, Community Coordinator","Estimated 700–1,000 students; verify with school.",Estimated 120–200 graduates; verify with school.,Estimated annual late May–June timing; no confirmed 2026 or 2027 date was publicly located.,"Not publicly available after official school calendar, graduation-page and venue searches.","Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.",Tier 1,85,"School-level approval likely through the principal and graduation committee; division review may be required for contracts, fundraising, logo use or revenue sharing; outside-venue approval is also required when the ceremony is off-site.",Sarah Nahachewsky,Saskatoon School Division No. 13 main office — 306-683-8200,"Graduation coordinator was not publicly identified. Recommended phone question: 'Who is the staff member leading the next Grade 12 graduation, and who approves an outside flower or keepsake vendor?'",https://www.spsd.sk.ca/bedfordroad; https://www.spsd.sk.ca/,2026-06-26
SCH-003,Centennial Collegiate,Saskatoon School Division No. 13,Urban public collegiate,Saskatoon,"Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.",https://www.spsd.sk.ca/centennial,"Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.","Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.",Wendy Benson,Aaron Adair; Sharlene Cooper,Not publicly identified.,"Not publicly identified after official school, division, staff-directory and graduation-page checks.","Not publicly identified after official school, division, staff-directory and graduation-page checks.","Estimated 1,200–1,500 students; verify with school.",Estimated 250–350 graduates; verify with school.,Estimated annual late May–June timing; no confirmed 2026 or 2027 date was publicly located.,"Not publicly available after official school calendar, graduation-page and venue searches.","Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.",Tier 1,92,"School-level approval likely through the principal and graduation committee; division review may be required for contracts, fundraising, logo use or revenue sharing; outside-venue approval is also required when the ceremony is off-site.",Wendy Benson,Saskatoon School Division No. 13 main office — 306-683-8200,"Graduation coordinator was not publicly identified. Recommended phone question: 'Who is the staff member leading the next Grade 12 graduation, and who approves an outside flower or keepsake vendor?'",https://www.spsd.sk.ca/centennial; https://www.spsd.sk.ca/,2026-06-26
SCH-004,Evan Hardy Collegiate,Saskatoon School Division No. 13,Urban public collegiate,Saskatoon,"Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.",https://www.spsd.sk.ca/evanhardy,EvanHardySchool@spsd.sk.ca,306-683-7700,Karen Peterson,Tommy Williams,Not publicly identified.,"Not publicly identified after official school, division, staff-directory and graduation-page checks.","Not publicly identified after official school, division, staff-directory and graduation-page checks.","Estimated 1,100–1,400 students; verify with school.",Estimated 220–320 graduates; verify with school.,Estimated annual late May–June timing; no confirmed 2026 or 2027 date was publicly located.,"Not publicly available after official school calendar, graduation-page and venue searches.","Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.",Tier 1,91,"School-level approval likely through the principal and graduation committee; division review may be required for contracts, fundraising, logo use or revenue sharing; outside-venue approval is also required when the ceremony is off-site.",Karen Peterson,Saskatoon School Division No. 13 main office — 306-683-8200,"Graduation coordinator was not publicly identified. Recommended phone question: 'Who is the staff member leading the next Grade 12 graduation, and who approves an outside flower or keepsake vendor?'",https://www.spsd.sk.ca/evanhardy; https://www.spsd.sk.ca/,2026-06-26
SCH-005,Marion M. Graham Collegiate,Saskatoon School Division No. 13,Urban public collegiate,Saskatoon,"Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.",https://www.spsd.sk.ca/marionmgraham,MarionM.GrahamSchool@spsd.sk.ca,306-683-7750,Jay Harvey,Jillian Harbidge,Not publicly identified.,"Not publicly identified after official school, division, staff-directory and graduation-page checks.","Not publicly identified after official school, division, staff-directory and graduation-page checks.","Estimated 1,100–1,400 students; verify with school.",Estimated 220–320 graduates; verify with school.,Estimated annual late May–June timing; no confirmed 2026 or 2027 date was publicly located.,"Not publicly available after official school calendar, graduation-page and venue searches.","Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.",Tier 1,91,"School-level approval likely through the principal and graduation committee; division review may be required for contracts, fundraising, logo use or revenue sharing; outside-venue approval is also required when the ceremony is off-site.",Jay Harvey,Saskatoon School Division No. 13 main office — 306-683-8200,"Graduation coordinator was not publicly identified. Recommended phone question: 'Who is the staff member leading the next Grade 12 graduation, and who approves an outside flower or keepsake vendor?'",https://www.spsd.sk.ca/marionmgraham; https://www.spsd.sk.ca/,2026-06-26
SCH-006,Mount Royal Collegiate,Saskatoon School Division No. 13,Urban public collegiate,Saskatoon,"Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.",https://www.spsd.sk.ca/mountroyal,"Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.","Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.",Scott Ferguson,Kate Clements,Not publicly identified.,"Not publicly identified after official school, division, staff-directory and graduation-page checks.","Nicole Wagner, Community Coordinator","Estimated 800–1,100 students; verify with school.",Estimated 140–220 graduates; verify with school.,Estimated annual late May–June timing; no confirmed 2026 or 2027 date was publicly located.,"Not publicly available after official school calendar, graduation-page and venue searches.","Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.",Tier 1,86,"School-level approval likely through the principal and graduation committee; division review may be required for contracts, fundraising, logo use or revenue sharing; outside-venue approval is also required when the ceremony is off-site.",Scott Ferguson,Saskatoon School Division No. 13 main office — 306-683-8200,"Graduation coordinator was not publicly identified. Recommended phone question: 'Who is the staff member leading the next Grade 12 graduation, and who approves an outside flower or keepsake vendor?'",https://www.spsd.sk.ca/mountroyal; https://www.spsd.sk.ca/,2026-06-26
SCH-007,Nutana Collegiate,Saskatoon School Division No. 13,Urban public collegiate and alternative programming,Saskatoon,"Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.",https://www.spsd.sk.ca/nutana,"Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.","Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.","Not publicly identified after official school, division, staff-directory and graduation-page checks.","Not publicly identified after official school, division, staff-directory and graduation-page checks.",Not publicly identified.,"Not publicly identified after official school, division, staff-directory and graduation-page checks.","Not publicly identified after official school, division, staff-directory and graduation-page checks.",Estimated 400–800 learners; verify with school.,Graduating cohort is program-dependent; exact count requires school confirmation.,Estimated annual late May–June timing; no confirmed 2026 or 2027 date was publicly located.,"Not publicly available after official school calendar, graduation-page and venue searches.","Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.",Tier 2,76,"School-level approval likely through the principal and graduation committee; division review may be required for contracts, fundraising, logo use or revenue sharing; outside-venue approval is also required when the ceremony is off-site.",School office / principal routing,Saskatoon School Division No. 13 main office — 306-683-8200,"Graduation coordinator was not publicly identified. Recommended phone question: 'Who is the staff member leading the next Grade 12 graduation, and who approves an outside flower or keepsake vendor?'",https://www.spsd.sk.ca/nutana; https://www.spsd.sk.ca/,2026-06-26
SCH-008,Tommy Douglas Collegiate,Saskatoon School Division No. 13,Urban public collegiate,Saskatoon,"Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.",https://www.spsd.sk.ca/tommydouglas,"Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.","Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.",Kevin McNarland,Tammy Chief; Sean Hayes,Not publicly identified.,"Not publicly identified after official school, division, staff-directory and graduation-page checks.","Deidra Evans, Community Coordinator","Estimated 1,200–1,500 students; verify with school.",Estimated 250–350 graduates; verify with school.,Estimated annual late May–June timing; no confirmed 2026 or 2027 date was publicly located.,"Not publicly available after official school calendar, graduation-page and venue searches.","Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.",Tier 1,93,"School-level approval likely through the principal and graduation committee; division review may be required for contracts, fundraising, logo use or revenue sharing; outside-venue approval is also required when the ceremony is off-site.",Kevin McNarland,Saskatoon School Division No. 13 main office — 306-683-8200,"Graduation coordinator was not publicly identified. Recommended phone question: 'Who is the staff member leading the next Grade 12 graduation, and who approves an outside flower or keepsake vendor?'",https://www.spsd.sk.ca/tommydouglas; https://www.spsd.sk.ca/,2026-06-26
SCH-009,Walter Murray Collegiate,Saskatoon School Division No. 13,Urban public collegiate,Saskatoon,"Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.",https://www.spsd.sk.ca/waltermurray,"Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.","Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.",Dave Fisher,"Jonathan McKee, acting; Zoe Pasloski; Shauna Pierce",Not publicly identified.,"Not publicly identified after official school, division, staff-directory and graduation-page checks.","Not publicly identified after official school, division, staff-directory and graduation-page checks.","Estimated 1,300–1,700 students; verify with school.",Estimated 280–400 graduates; verify with school.,Estimated annual late May–June timing; no confirmed 2026 or 2027 date was publicly located.,"Not publicly available after official school calendar, graduation-page and venue searches.","Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.",Tier 1,94,"School-level approval likely through the principal and graduation committee; division review may be required for contracts, fundraising, logo use or revenue sharing; outside-venue approval is also required when the ceremony is off-site.",Dave Fisher,Saskatoon School Division No. 13 main office — 306-683-8200,"Graduation coordinator was not publicly identified. Recommended phone question: 'Who is the staff member leading the next Grade 12 graduation, and who approves an outside flower or keepsake vendor?'",https://www.spsd.sk.ca/waltermurray; https://www.spsd.sk.ca/,2026-06-26
SCH-010,Estey School Secondary Program,Saskatoon School Division No. 13,Public Grade 6–12 school,Saskatoon,"Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.",https://www.spsd.sk.ca/estey,"Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.","Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.","Not publicly identified after official school, division, staff-directory and graduation-page checks.","Not publicly identified after official school, division, staff-directory and graduation-page checks.",Not publicly identified.,"Not publicly identified after official school, division, staff-directory and graduation-page checks.","Not publicly identified after official school, division, staff-directory and graduation-page checks.",Estimated 300–600 students; verify with school.,Estimated 30–80 graduates; verify with school.,Estimated annual late May–June timing; no confirmed 2026 or 2027 date was publicly located.,"Not publicly available after official school calendar, graduation-page and venue searches.","Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.",Tier 3,62,"School-level approval likely through the principal and graduation committee; division review may be required for contracts, fundraising, logo use or revenue sharing; outside-venue approval is also required when the ceremony is off-site.",School office / principal routing,Saskatoon School Division No. 13 main office — 306-683-8200,"Graduation coordinator was not publicly identified. Recommended phone question: 'Who is the staff member leading the next Grade 12 graduation, and who approves an outside flower or keepsake vendor?'",https://www.spsd.sk.ca/estey; https://www.spsd.sk.ca/,2026-06-26
