Organization,Missing information,Search attempts,Sources checked,Best person to call,Phone number,Exact question to ask,Priority,Recommended next step
Chinook School Division No. 211,"verified general office email; event-specific outside-vendor, insurance, revenue-sharing, fundraising and logo-use process","Checked the April 2026 provincial directory, official organization website, current board/staff pages, policy or procurement routes and targeted role searches.",https://www.chinooksd.ca/; https://www.chinooksd.ca/board/about-us; https://www.saskatchewan.ca/residents/education-and-learning/prek-12-education-early-learning-and-schools/k-12-school-divisions-in-saskatchewan; https://publications.saskatchewan.ca/api/v1/products/98865/formats/135806/download,General administration / operations office,306-778-9200,"Who currently approves outside graduation vendors, and where are the written insurance, fundraising, branding and procurement requirements?",Medium,"Call the listed office, record the respondent/date, and replace this gap with a sourced answer."
Christ the Teacher Roman Catholic Separate School Division No. 212,"complete current trustee roster, subdivisions and public emails; verified general office email; event-specific outside-vendor, insurance, revenue-sharing, fundraising and logo-use process","Checked the April 2026 provincial directory, official organization website, current board/staff pages, policy or procurement routes and targeted role searches.",https://www.christtheteacher.ca/; https://www.christtheteacher.ca/board; https://www.saskatchewan.ca/residents/education-and-learning/prek-12-education-early-learning-and-schools/k-12-school-divisions-in-saskatchewan; https://publications.saskatchewan.ca/api/v1/products/98865/formats/135806/download,General administration / operations office,306-783-8787,"Who currently approves outside graduation vendors, and where are the written insurance, fundraising, branding and procurement requirements?",Medium,"Call the listed office, record the respondent/date, and replace this gap with a sourced answer."
Conseil des écoles fransaskoises No. 310,"verified general office email; event-specific outside-vendor, insurance, revenue-sharing, fundraising and logo-use process","Checked the April 2026 provincial directory, official organization website, current board/staff pages, policy or procurement routes and targeted role searches.",https://ecolefrancophone.com/; https://ecolefrancophone.com/fr/conseil/conseil-scolaire-fransaskois/conseillers-et-regions; https://www.saskatchewan.ca/residents/education-and-learning/prek-12-education-early-learning-and-schools/k-12-school-divisions-in-saskatchewan; https://publications.saskatchewan.ca/api/v1/products/98865/formats/135806/download,General administration / operations office,1-877-273-6661,"Who currently approves outside graduation vendors, and where are the written insurance, fundraising, branding and procurement requirements?",Medium,"Call the listed office, record the respondent/date, and replace this gap with a sourced answer."
Creighton School Division No. 111,"complete current trustee roster, subdivisions and public emails; event-specific outside-vendor, insurance, revenue-sharing, fundraising and logo-use process","Checked the April 2026 provincial directory, official organization website, current board/staff pages, policy or procurement routes and targeted role searches.",https://www.creightonschool.com/; https://www.creightonschool.com/contact-us; https://www.saskatchewan.ca/residents/education-and-learning/prek-12-education-early-learning-and-schools/k-12-school-divisions-in-saskatchewan; https://publications.saskatchewan.ca/api/v1/products/98865/formats/135806/download,General administration / operations office,306-688-5825,"Who currently approves outside graduation vendors, and where are the written insurance, fundraising, branding and procurement requirements?",Medium,"Call the listed office, record the respondent/date, and replace this gap with a sourced answer."
Good Spirit School Division No. 204,"verified general office email; event-specific outside-vendor, insurance, revenue-sharing, fundraising and logo-use process","Checked the April 2026 provincial directory, official organization website, current board/staff pages, policy or procurement routes and targeted role searches.",https://www.gssd.ca/; https://www.gssd.ca/board/board-members; https://www.saskatchewan.ca/residents/education-and-learning/prek-12-education-early-learning-and-schools/k-12-school-divisions-in-saskatchewan; https://publications.saskatchewan.ca/api/v1/products/98865/formats/135806/download,General administration / operations office,306-786-5500,"Who currently approves outside graduation vendors, and where are the written insurance, fundraising, branding and procurement requirements?",Medium,"Call the listed office, record the respondent/date, and replace this gap with a sourced answer."
Holy Family Roman Catholic Separate School Division No. 140,"event-specific outside-vendor, insurance, revenue-sharing, fundraising and logo-use process","Checked the April 2026 provincial directory, official organization website, current board/staff pages, policy or procurement routes and targeted role searches.",https://www.holyfamilyrcssd.ca/; https://www.holyfamilyrcssd.ca/index.php/governance/board-of-education/board; https://www.saskatchewan.ca/residents/education-and-learning/prek-12-education-early-learning-and-schools/k-12-school-divisions-in-saskatchewan; https://publications.saskatchewan.ca/api/v1/products/98865/formats/135806/download,General administration / operations office,306-842-7025,"Who currently approves outside graduation vendors, and where are the written insurance, fundraising, branding and procurement requirements?",Medium,"Call the listed office, record the respondent/date, and replace this gap with a sourced answer."
Holy Trinity Roman Catholic Separate School Division No. 22,"verified general office email; event-specific outside-vendor, insurance, revenue-sharing, fundraising and logo-use process","Checked the April 2026 provincial directory, official organization website, current board/staff pages, policy or procurement routes and targeted role searches.",https://www.htcsd.ca/; https://www.htcsd.ca/apps/pages/index.jsp?uREC_ID=1075802&type=d&pREC_ID=1359526; https://www.saskatchewan.ca/residents/education-and-learning/prek-12-education-early-learning-and-schools/k-12-school-divisions-in-saskatchewan; https://publications.saskatchewan.ca/api/v1/products/98865/formats/135806/download,General administration / operations office,306-694-5333,"Who currently approves outside graduation vendors, and where are the written insurance, fundraising, branding and procurement requirements?",Medium,"Call the listed office, record the respondent/date, and replace this gap with a sourced answer."
Horizon School Division No. 205,"verified general office email; event-specific outside-vendor, insurance, revenue-sharing, fundraising and logo-use process","Checked the April 2026 provincial directory, official organization website, current board/staff pages, policy or procurement routes and targeted role searches.",https://www.horizonsd.ca/; https://www.horizonsd.ca/apps/pages/board; https://www.saskatchewan.ca/residents/education-and-learning/prek-12-education-early-learning-and-schools/k-12-school-divisions-in-saskatchewan; https://publications.saskatchewan.ca/api/v1/products/98865/formats/135806/download,General administration / operations office,306-682-2558,"Who currently approves outside graduation vendors, and where are the written insurance, fundraising, branding and procurement requirements?",Medium,"Call the listed office, record the respondent/date, and replace this gap with a sourced answer."
Île-à-la-Crosse School Division No. 112,"complete current trustee roster, subdivisions and public emails; event-specific outside-vendor, insurance, revenue-sharing, fundraising and logo-use process","Checked the April 2026 provincial directory, official organization website, current board/staff pages, policy or procurement routes and targeted role searches.",https://www.rossignolschools.com/; https://www.rossignolschools.com/page/board; https://www.saskatchewan.ca/residents/education-and-learning/prek-12-education-early-learning-and-schools/k-12-school-divisions-in-saskatchewan; https://publications.saskatchewan.ca/api/v1/products/98865/formats/135806/download,General administration / operations office,306-833-2141,"Who currently approves outside graduation vendors, and where are the written insurance, fundraising, branding and procurement requirements?",Medium,"Call the listed office, record the respondent/date, and replace this gap with a sourced answer."
Light of Christ Roman Catholic Separate School Division No. 16,"complete current trustee roster, subdivisions and public emails; verified general office email; event-specific outside-vendor, insurance, revenue-sharing, fundraising and logo-use process","Checked the April 2026 provincial directory, official organization website, current board/staff pages, policy or procurement routes and targeted role searches.",https://www.loccsd.ca/; Full board-page URL not separately verified in this build; start from https://www.loccsd.ca/; https://www.saskatchewan.ca/residents/education-and-learning/prek-12-education-early-learning-and-schools/k-12-school-divisions-in-saskatchewan; https://publications.saskatchewan.ca/api/v1/products/98865/formats/135806/download,General administration / operations office,306-445-6158,"Who currently approves outside graduation vendors, and where are the written insurance, fundraising, branding and procurement requirements?",Medium,"Call the listed office, record the respondent/date, and replace this gap with a sourced answer."
