Rank,Institution or organization,Campus,Contact,Title,Contact category,Expected usefulness,Opportunity,Opportunity tier,Opportunity score,Best outreach channel,Email,Phone,Reason to contact,Suggested opening angle,Desired outcome,Backup contact,Source,Date verified
1,University of Regina,Regina,University of Regina Convocation Coordinator,Convocation Coordinator,Operational decision-maker,VERY STRONG,Request 2027 pilot and incumbent clarification,Tier 1,100,Email,convocation@uregina.ca,306-585-4584,Direct public ceremony contact,Lead with zero-lift turnkey service,Request 2027 pilot and incumbent clarification,Registrar Graduation Office,https://www.uregina.ca/convocation/,2026-06-26
2,University of Saskatchewan,Saskatoon,USask Convocation Office,Convocation departmental contact,Operational decision-maker,VERY STRONG,Request complementary or non-competing partnership,Tier 1,99,Email,convocation@usask.ca,1-877-650-1212,Direct owner of ceremony process,Acknowledge incumbents and propose a complementary role,Request complementary or non-competing partnership,Registrarial Services / Merlis Belsher Place,https://students.usask.ca/academics/graduation.php,2026-06-26
3,Saskatchewan Indian Institute of Technologies,Institution-wide,SIIT Advancement Office,Advancement departmental contact,Operational decision-maker,VERY STRONG,Extend frame workflow with flowers/gifts,Tier 1,99,Email,advancement@siit.ca,306-244-4460,Existing frame-order owner,Build around existing frame process,Extend frame workflow with flowers/gifts,SIIT Student Services,https://siit.ca/grad-2026/,2026-06-26
4,TCU Place,Downtown,TCU Place Event Sales,Venue sales contact,Venue decision-maker,VERY STRONG,Clarify vendor/insurance/loading,Tier 1,99,Email,inquiries@tcuplace.com,306-975-7777,Hosts multiple graduations,Position as ceremony specialist,Clarify vendor/insurance/loading,Client Services,https://tcuplace.com/planners/,2026-06-26
5,Saskatchewan Polytechnic,All campuses,Saskatchewan Polytechnic Campus Store,Official campus retail contact,Retail or commercial-services contact,VERY STRONG,Pitch supply/white-label/overflow,Tier 1,98,Email,"Not publicly available after checks of the official website, staff directory, contact page, relevant event or procurement page, and targeted role search; phone or contact-form routing required.",1-866-467-4278,Confirmed incumbent and best partnership route,Do not pitch direct competition,Pitch supply/white-label/overflow,Convocation Office,https://saskpolytech.ca/student-services/student-life/convocation/gifts.aspx,2026-06-26
6,Merlis Belsher Place,USask campus,Merlis Belsher Place Event Booking,Venue booking contact,Venue decision-maker,VERY STRONG,Clarify vendor terms,Tier 1,98,Email,tyano@merlisbelsherplace.ca,306-385-3200,One-to-many venue leverage,Acknowledge client approval is separate,Clarify vendor terms,Event organizer / USask,https://merlisbelsherplace.ca/bookings-and-rates-at-merlis-belcher-place/,2026-06-26
7,Saskatchewan Polytechnic,All campuses,Saskatchewan Polytechnic Convocation Office,Convocation departmental contact,Operational decision-maker,VERY STRONG,Explore Campus Store-aligned partnership,Tier 1,97,Email,convocation@saskpolytech.ca,1-866-467-4278,Direct ceremony owner,Acknowledge existing Campus Store sales,Explore Campus Store-aligned partnership,Campus Store,https://saskpolytech.ca/student-services/student-life/convocation/,2026-06-26
8,Prairieland Park,Saskatoon,Prairieland Park Event Booking,Venue booking contact,Venue decision-maker,VERY STRONG,Clarify Hall D rules,Tier 1,97,Email,contactus@prairielandpark.com,306-931-7149,Hosts SIIT and large ceremonies,Reference SIIT directly,Clarify Hall D rules,SIIT Advancement,https://prairielandpark.com/contact/,2026-06-26
9,First Nations University of Canada,All campuses,First Nations University Convocation Office,Convocation departmental contact,Operational decision-maker,VERY STRONG,Clarify incumbent and complement offer,Tier 1,96,Email,convocation@firstnationsuniversity.ca,306-790-5950,Official page lists products and contact,Ask how current products are operated,Clarify incumbent and complement offer,U of R Convocation,https://www.fnuniv.ca/academic/registrars-office/graduation-and-convocation/,2026-06-26
10,University of Regina,Regina,University of Regina Graduation Office,Graduation departmental contact,Operational decision-maker,VERY STRONG,Confirm final commercial authority,Tier 1,95,Email,ur.graduation@uregina.ca,306-585-4591,Can define approval chain,Ask exactly who signs off,Confirm final commercial authority,Convocation Coordinator,https://www.uregina.ca/registrar/graduation/index.html,2026-06-26
11,Saskatchewan Apprenticeship and Trade Certification Commission,Province-wide,SATCC Celebration Dinner Team,Event and sponsorship contact,Operational decision-maker,VERY STRONG,Explore recipient gifts/sponsorship,Tier 1,95,Email,"Not publicly available after checks of the official website, staff directory, contact page, relevant event or procurement page, and targeted role search; phone or contact-form routing required.",1-877-363-0536,2026 date and sponsor program confirmed,"Treat as recognition, not ordinary retail",Explore recipient gifts/sponsorship,SATCC Communications,https://saskapprenticeship.ca/apprenticeship-celebration-dinner/,2026-06-26
12,University of Regina,Regina,University of Regina Campus Store,Official Campus Store contact,Retail or commercial-services contact,VERY STRONG,Explore local flower supply and bundles,Tier 1,94,Email,uregina@bkstr.com,306-585-4755,Possible partner or incumbent,Position Bloom Boys as local fulfilment,Explore local flower supply and bundles,Convocation Coordinator,https://uregina.bkstr.com/pages/contact,2026-06-26
13,University of Saskatchewan,Saskatoon,USask Registrarial Services,Departmental leadership contact,Operational decision-maker,VERY STRONG,Confirm internal approval owner,Tier 1,93,Email,"Not publicly available after checks of the official website, staff directory, contact page, relevant event or procurement page, and targeted role search; phone or contact-form routing required.",306-966-5756,Official mandate includes Convocation,Ask a precise routing question,Confirm internal approval owner,USask Convocation Office,https://leadership.usask.ca/unit/registrarial-services.php,2026-06-26
14,University of Regina CKHS Main Gym,Regina,U of R CKHS Facility Rentals,Facility rentals contact,Venue decision-maker,VERY STRONG,Clarify authority and setup,Tier 1,93,Email,"Not publicly available after checks of the official website, staff directory, contact page, relevant event or procurement page, and targeted role search; phone or contact-form routing required.",306-585-4111,Can define facility/Convocation boundary,Ask who controls retail placement,Clarify authority and setup,U of R Convocation,https://www.uregina.ca/kinesiology-health-studies/facilities/facility-rentals.html,2026-06-26
15,University of Saskatchewan Students’ Union,USask,Jason Kovitch,Business & Services Manager,Student organization contact,VERY STRONG,Explore preorder pickup or joint campaign,Tier 1,92,Email,contactus@ussu.ca,306-966-6990,Permanent operations leader can assess student-space retail,"Propose a student-space pickup, not arena competition",Explore preorder pickup or joint campaign,USSU Facilities Manager,https://ussu.ca/contact/,2026-06-26
16,Suncrest College,North and South regions,Suncrest College Graduation Team,Graduation departmental contact,Operational decision-maker,VERY STRONG,Request two-event pilot,Tier 1,92,Email,info@suncrestcollege.ca,"Not publicly available after checks of the official website, staff directory, contact page, relevant event or procurement page, and targeted role search; phone or contact-form routing required.",Official page confirms organized events,Offer shared inventory across events,Request two-event pilot,Campus administration,https://suncrestcollege.ca/graduation,2026-06-26
